banda,tag,value
Afrodite,forró das antigas,10
Afrodite,romântico,7
Alceu Valença,mpb,10
Alexandre Tan,mpb,10
Amazan,pé-de-serra,10
Amazan,pé-de-serra duplo sentido,7
Antônio Barros e Cecéu,pé-de-serra,10
Antônio Barros e Cecéu,pé-de-serra duplo sentido,7
Assisão,pé-de-serra,10
Aviões do Forró,forró eletrônico,10
Aviões do Forró,forronejo,5
Banda Encantus,forró das antigas,10
Banda Encantus,romântico,8
Banda Magia,forró das antigas,7
Banda Palov,forró das antigas,10
Beto Brito,mpb,10
Beto Brito,alternativo,7
Biliu de Campina,pé-de-serra,10
Biliu de Campina,repente,7
Bonde do Brasil,sofrência,10
Bonde do Brasil,arrocha,8
Cabruêra,alternativo,10
Capilé,pé-de-serra,5
Capilé,forró eletrônico,5
Cicinho Lima,forró eletrônico,10
Coco Seco,forró eletrônico,10
Coleguinhas,forró eletrônico,10
Coleguinhas,romântico,5
Coleguinhas,forronejo,5
Coroné Grilo,pé-de-serra,10
Coronel Grilo,pé-de-serra,10
Culé de Xá,pé-de-serra,10
Culé de Xá,forró das antigas,10
Desejo de Menina,romântico,10
Dorgival Dantas,romântico,10
Edgley Miguel,pé-de-serra,10
Elba Ramalho,mpb,10
Elba Ramalho,pé-de-serra,8
Eloisa Olinto,mpb,10
Espora de Ouro,forró de vaquejada,10
Fabiano Guimarães,pé-de-serra,10
Felipe Lemos,forró eletrônico,10
Felipe Lemos,forronejo,6
Flávio José,pé-de-serra,10
Forró Bakana,forró eletrônico,10
Forró da Barka,forró eletrônico,10
Forró da Galera,forró eletrônico,10
Forró Instigação,forró eletrônico,10
Forró na Manha,forró eletrônico,10
Forró Sacaneado,forró eletrônico,10
Forró Zueira,forró eletrônico,10
Forrozão forró das antigas,forró das antigas,10
Forrozão forró das antigas,romântico,7
Forrozão Karkará,forró eletrônico,10
Gabriel Diniz,forró eletrônico,10
Gabriel Diniz,forronejo,8
Galã do Brega,forró eletrônico,10
Galã do Brega,forronejo,8
Garota Safada,forró eletrônico,10
Garota Safada,forronejo,5
Genival Lacerda,pé-de-serra,10
Geraldinho Lins,pé-de-serra,10
Impacto X,forró das antigas,7
Impacto X,forró eletrônico,7
Inaudete Amorim,pé-de-serra,10
Iohannes e Forró do Imperador,forró eletrônico,10
Iohannes e Forró do Imperador,forronejo,6
Jairo Madruga,pé-de-serra,10
João Lima,forró eletrônico,10
João Lima,forronejo,5
João Marcelo e Juliano,sertanejo,10
Jorge de Altinho,pé-de-serra,10
Jorge de Altinho,pé-de-serra duplo sentido,7
Joverlaine e Mania de Sertanejo,forronejo,10
Jurandir da Feira,pé-de-serra,10
Luan e Forró Estilizado,pé-de-serra,4
Luan e Forró Estilizado,forró eletrônico,10
Luan e Forró Estilizado,forronejo,4
Luizinho Calixto,pé-de-serra,10
Magníficos,forró das antigas,10
Magníficos,romântico,6
Mara Pavanelly,forronejo,7
Mara Pavanelly,forró eletrônico,9
Mara Pavanelly,romântico,7
Matheus Felipe e Forró Ousado,forró eletrônico,10
Matheus Felipe e Forró Ousado,forronejo,5
Nando Cordel,pé-de-serra,10
Os 3 do nordeste,pé-de-serra,10
Os Gonzagas,pé-de-serra,10
Os Nonatos,romântico,7
Os Nonatos,sertanejo raiz,7
Os Três do Nordeste,pé-de-serra,10
Padre Fábio de Melo,religioso,10
Pinto do Acordeon,pé-de-serra,10
Poeta Francinaldo,pé-de-serra,10
Raiane Stthefanny,forró eletrônico,10
Ramon Schnayder,forró eletrônico,10
Ramon Schnayder,forronejo,8
Raniere Gomes,pé-de-serra,7
Saia Justa,forró eletrônico,10
Saia Rodada,forró eletrônico,10
Sandra Belê,pé-de-serra,10
Shilton Fernandes,forró eletrônico,10
Shilton Fernandes,forronejo,5
Solteirões do Forró,forró eletrônico,10
Solteirões do Forró,forronejo,5
Ton Oliveira,pé-de-serra,10
Ton Oliveira,pé-de-serra duplo sentido,7
Tony Dumond,pé-de-serra,10
Tony Dumond,mpb,5
Tribo Cordel,forro universtiário,10
Waldonys,pé-de-serra,10
Zé Calixto,pé-de-serra,10
Vinícius e Sobral,sertanejo,10
Forró do Chefe,forró eletrônico,10
Candeeiro Natural,mpb,10
Candeeiro Natural,pé-de-serra,3
Candeeiro Natural,forro universtiário,7
Chico Sales,mpb,10
Chico Sales,pé-de-serra,5
Diogo Cirne,forró eletrônico,10
Edmar Miguel,pé-de-serra,10
Edra Veras,forró eletrônico,10
Edra Veras,forronejo,7
Erika Marques,mpb,10
Gente Boa,pé-de-serra,10
Geovane Júnior,pé-de-serra,10
Marcos Freire e Banda,religioso,10
Novinho da Paraíba,pé-de-serra,10
Orquestra Sanfônica Balaio Nordeste,pé-de-serra,10
Orquestra Sanfônica Balaio Nordeste,orquestra,10
Renata Arruda,mpb,10
Vates e Viola,mpb,10
Vates e Viola,pé-de-serra,7
Bruno Melo,forró eletrônico,10
Cavaleiros do Forró,forró eletrônico,10
Cavaleiros do Forró,forró das antigas,7
Chambinho,pé-de-serra,10
Lara Amélia,forró eletrônico,10
GG e Banda Forró do Gordinho,forronejo,10
GG e Banda Forró do Gordinho,forró eletrônico,7